raw_voltage_G-,raw_voltage_G0,raw_voltage_G1,raw_voltage_G2,raw_voltage_G3,raw_voltage_G4,raw_voltage_G5,raw_voltage_G6,load_x,load_y,load_z,load_l,load_m,load_n,rpm,voltage,current,roll,pitch,yaw,aileron1_pwm,elevator_pwm,throttle_pwm,rudder_pwm,aileron2_pwm,pbaro,pdiff,Tt,sample_start_time,sample_end_time,uid
-0.0449756028192417,0.0291775669026625,-0.080203153045769,-0.0965431485692109,-0.0878321365463457,-0.0571244511494793,-0.221250324276069,-0.2469176780317558,-12.455413774605187,6.272571200251193,-17.853349353508317,0.1178838064390844,0.3627322118297627,0.5101882548068432,5702.87841796875,11.5045,5.23,-0.1895816037512967,-1.001638890808893,-63.04358433645492,1500.0,1435.0,1300.0,1500.0,1500.0,1021.7000000000002,250.0,289.15,1636035597.183482,1636035598.3917625,d4001c44-9883-4238-84a6-8be178fd2016
-0.0458384860490793,0.0442848711002897,-0.1021861311610979,-0.0843943005572189,-0.1078017205432614,-0.0747656194607835,-0.239877646518215,-0.2668598700756081,-11.72674642251542,5.540918939052497,-16.81860711069344,0.0454238408254728,0.4021637697947637,0.5980778855770011,5702.87841796875,11.490875,5.22,-0.1805987143786998,-0.9965724912703298,-62.316925633299135,1500.0,1435.0,1300.0,1500.0,1500.0,1021.7000000000002,250.0,289.15,1636035598.5005596,1636035599.6210468,d4001c44-9883-4238-84a6-8be178fd2016
-0.0443044714248975,0.0459421547132895,-0.1073360371409332,-0.1150745931829629,-0.118142622538963,-0.0502350816538406,-0.2390421559332077,-0.2655997862688595,-11.631453995769704,5.623589953177511,-17.13467510837766,0.1700436480173451,0.4139587634519852,0.6175113444328493,5702.87841796875,11.488,5.217499999999999,-0.1716783522530043,-1.016931550958419,-61.24005666441377,1500.0,1482.0,1300.0,1500.0,1500.0,1021.7000000000002,250.0,289.15,1636035601.0683775,1636035602.192436,588253ea-2841-4a06-828a-8df7958b6675
-0.0421371279248813,0.0404366859935528,-0.0988737548902455,-0.1241849970570177,-0.1127587789480561,-0.0385606829458663,-0.2309787171225571,-0.2551854696851492,-11.772279125584568,6.015765550391283,-17.37471601019888,0.2197404126684378,0.3980989108901928,0.5858186756319839,5702.87841796875,11.486777777777778,5.211111111111111,-0.1626564712899649,-1.059618424930984,-60.892522979065184,1500.0,1482.0,1300.0,1500.0,1500.0,1021.7000000000002,250.0,289.15,1636035602.3277566,1636035603.3123648,588253ea-2841-4a06-828a-8df7958b6675
-0.041921270161084,0.0446135885070492,-0.1050350151271182,-0.126552310222384,-0.1201560167014177,-0.041085780427377,-0.2370150651112696,-0.2618195356487494,-11.614200209241126,5.9566871803933,-17.50878504862227,0.2187660342191504,0.4137341155919465,0.6133172816381521,5702.87841796875,11.486375,5.22,-0.1299254058567163,-1.0668840460718143,-60.56814363500295,1500.0,1482.0,1300.0,1500.0,1500.0,1021.7000000000002,250.0,289.15,1636035603.444975,1636035604.6441526,588253ea-2841-4a06-828a-8df7958b6675
-0.0500159365575309,0.0362723843202029,-0.1019532896500022,-0.1035146971389279,-0.107897596434361,-0.0512623236104147,-0.2355769266858861,-0.2603677004929227,-12.063223186247525,5.681360933068679,-17.07871966076958,0.1421015785988836,0.3791702163905244,0.5899708014633958,5702.87841796875,11.486555555555556,5.208888888888889,-0.1429788148708312,-1.0680312139919643,-59.832665070626426,1500.0,1500.0,1300.0,1500.0,1500.0,1021.7000000000002,250.0,289.15,1636035607.0843344,1636035608.1280975,bc784239-3ed2-4747-8368-88f3d955a849
-0.0481395079640377,0.0419153664710656,-0.1060074708950689,-0.1102397077295673,-0.114170620307581,-0.0482627772188448,-0.2374122653342411,-0.2579708022603335,-11.806599458748344,5.582860432912997,-16.769682346178453,0.1633355334100622,0.3963488295498533,0.6079339085990627,5702.87841796875,11.488666666666669,5.205555555555556,-0.1536554974055373,-1.0774763221129688,-59.65424838694717,1500.0,1500.0,1300.0,1500.0,1500.0,1021.7000000000002,250.0,289.15,1636035608.2394965,1636035609.3588874,bc784239-3ed2-4747-8368-88f3d955a849
-0.0462767759370955,0.0284105596224805,-0.0808194985022267,-0.111650453331464,-0.0876540815959783,-0.0390449929631171,-0.2163058663483057,-0.2460274017521283,-12.605138378974168,6.089996801221251,-17.3483102421135,0.191353282189311,0.3582568964480082,0.5042032984952467,5702.87841796875,11.49275,5.192500000000001,-0.1739105167707026,-1.0778065724315096,-59.54983926938221,1500.0,1500.0,1300.0,1500.0,1500.0,1021.7000000000002,250.0,289.15,1636035609.468447,1636035610.587847,bc784239-3ed2-4747-8368-88f3d955a849
-0.0459891481894257,0.0296158567938384,-0.0833259686964635,-0.1192931335794607,-0.0916671733173572,-0.0330459000933077,-0.2171276599397328,-0.2412199091037989,-12.535748461914826,6.095474895545199,-17.341324173344926,0.2220216112559585,0.3630066251111452,0.5143908885558859,5702.87841796875,11.494,5.209999999999999,-0.1577239422733377,-1.101157948667152,-59.27867051404894,1500.0,1517.0,1300.0,1500.0,1500.0,1021.7000000000002,250.0,289.15,1636035613.0635889,1636035614.2745097,e92b7cbd-e6c4-4ef4-b3ce-5ee6bbe558e7
-0.0424280428657192,0.0427919462134434,-0.1045556362436008,-0.1299490568166475,-0.1183891612411847,-0.0342238042132997,-0.2348236162840232,-0.2544370901037142,-11.761640825785838,5.893858065754363,-17.220035404885525,0.2414272176950466,0.4058337538069024,0.6072168897327028,5702.87841796875,11.496222222222222,5.202222222222222,-0.1683422939846046,-1.1004246075013826,-59.238951635932985,1500.0,1517.0,1300.0,1500.0,1500.0,1021.7000000000002,250.0,289.15,1636035614.3838787,1636035615.5090325,e92b7cbd-e6c4-4ef4-b3ce-5ee6bbe558e7
-0.043427891655217,0.045051878372731,-0.1132392544917409,-0.1234568878977766,-0.1248813300081947,-0.0414008013976442,-0.2427539241379829,-0.2658189314237282,-11.621271727567596,5.633243234081362,-17.137289030504963,0.2085786193011024,0.4112287565310255,0.6398394615602484,5702.87841796875,11.500111111111112,5.207777777777777,-0.1770612024006518,-1.0842950090546917,-59.20872197757641,1500.0,1517.0,1300.0,1500.0,1500.0,1021.7000000000002,250.0,289.15,1636035615.642803,1636035616.729366,e92b7cbd-e6c4-4ef4-b3ce-5ee6bbe558e7
