raw_voltage_G-,raw_voltage_G0,raw_voltage_G1,raw_voltage_G2,raw_voltage_G3,raw_voltage_G4,raw_voltage_G5,raw_voltage_G6,load_x,load_y,load_z,load_l,load_m,load_n,rpm,voltage,current,roll,pitch,yaw,aileron1_pwm,elevator_pwm,throttle_pwm,rudder_pwm,aileron2_pwm,pbaro,pdiff,Tt,sample_start_time,sample_end_time,uid
-0.0508993646046301,0.0343754109562049,-0.0630687573925119,-0.0445236163744112,-0.089742806472477,-0.1010630127520862,-0.2412267571177859,-0.2654902137433546,-12.387112738345346,8.929075852894815,-16.609979340963374,-0.0794992778455663,0.3654504763577115,0.5196729741845637,1877.5120849609373,11860.875,39.875,0.0031695176148787,-0.0161533949431031,-1.7073673456907272,1000.0,1500.0,1200.0,1500.0,1000.0,1021.7000000000002,250.0,289.15,1635952259.2235649,1635952260.7139156,5754c3c0-f163-4935-820e-f2fdedc258e6
-0.0507007644976344,0.0342042039727129,-0.0633769299716381,-0.0441606575579798,-0.0896743236742198,-0.1012684611406091,-0.2413089364765574,-0.2644424268459969,-12.391028245324115,8.898629862634367,-16.61663138040065,-0.0809999003959106,0.3648302750888487,0.5200996188525208,1896.1561965942385,11863.6875,39.0,0.0033112662058556,-0.0159496731357648,-1.7005534693598747,1000.0,1500.0,1200.0,1500.0,1000.0,1021.7000000000002,250.0,289.15,1635952260.8228767,1635952262.4718597,5754c3c0-f163-4935-820e-f2fdedc258e6
-0.0506958104236402,0.0346238432175929,-0.0629143068303663,-0.0442823237991502,-0.0890578327979448,-0.1016190347763382,-0.2406315395778032,-0.2646698772242484,-12.38577410212166,8.86631141369876,-16.619191700728106,-0.0817022076199251,0.366433441375163,0.5177278978224735,1898.306350708008,11866.5625,38.0625,0.0032459469512104,-0.0158237091382034,-1.6948039084672928,1000.0,1500.0,1200.0,1500.0,1000.0,1021.7000000000002,250.0,289.15,1635952262.5894823,1635952264.127448,5754c3c0-f163-4935-820e-f2fdedc258e6
-0.0503651987998532,0.0353821080191447,-0.0646096202929227,-0.0461329620635348,-0.0900783721707106,-0.1003028537089031,-0.241493840035054,-0.2662229796675679,-12.423337506638848,8.777070132268397,-16.577322613724466,-0.0752582273218557,0.3692910411574568,0.5228014738157821,1900.802230834961,11947.4375,30.25,0.0034923893254017,-0.0159495380939915,-1.6770403608679771,1250.0,1500.0,1200.0,1500.0,1250.0,1021.7000000000002,250.0,289.15,1635952269.2597244,1635952270.9523418,dd4f88e7-123a-4b68-ad85-327c780cdd1b
-0.0507144610567218,0.0350328457729625,-0.0647123444865976,-0.0452974719586428,-0.0903659999160228,-0.1005562400546944,-0.2420553990016956,-0.2677022082667893,-12.426521665604351,8.819055037986164,-16.55568148145763,-0.0774372263232657,0.3677031604254034,0.5241089275550409,1902.395637512207,11946.1875,29.0625,0.0036894851655233,-0.0159415473463013,-1.673257552087307,1250.0,1500.0,1200.0,1500.0,1250.0,1021.7000000000002,250.0,289.15,1635952271.0634649,1635952272.6979115,dd4f88e7-123a-4b68-ad85-327c780cdd1b
-0.0502350814887537,0.0347931559960697,-0.0652328137352189,-0.0461124172215258,-0.0905372069079917,-0.0998029292894437,-0.241514384875766,-0.2662983108033616,-12.38849155693048,8.752659480064429,-16.587964422216825,-0.0743581823682104,0.3668873493657807,0.5242534507978933,1893.5490650850184,11945.64705882353,30.41176470588235,0.0037139896440374,-0.0158900933011489,-1.6708169474321253,1250.0,1500.0,1200.0,1500.0,1250.0,1021.7000000000002,250.0,289.15,1635952272.8095534,1635952274.4315746,dd4f88e7-123a-4b68-ad85-327c780cdd1b
-0.0502761711658479,0.0352245975942897,-0.0644110201868249,-0.0458932722813491,-0.0896743236730767,-0.1008027781245928,-0.2411377294710346,-0.266716055889278,-12.41694017459569,8.755586508515997,-16.636558071079353,-0.0770610564577439,0.369162719816239,0.5213861933245848,1896.1236572265625,11942.875,31.875,0.0035307956277392,-0.0159254783065989,-1.6666045412421229,1500.0,1500.0,1200.0,1500.0,1500.0,1021.7000000000002,250.0,289.15,1635952279.1819298,1635952280.6887944,d667975d-dc88-4e57-9d52-a2d8495170c2
-0.0506596748200326,0.0347383697614308,-0.0651300895409902,-0.0450988718520771,-0.0899893445359122,-0.1011383438274978,-0.2417814677990715,-0.2651546479887358,-12.424448645919547,8.73787830949825,-16.652981076040266,-0.0797666822759942,0.3673940764334795,0.5236389655042469,1890.06103515625,11945.5,29.0,0.003606078098528,-0.0160374958068132,-1.6664661765098572,1500.0,1500.0,1200.0,1500.0,1500.0,1021.7000000000002,250.0,289.15,1635952280.798291,1635952282.3226826,d667975d-dc88-4e57-9d52-a2d8495170c2
-0.0503461110414035,0.0350294944869093,-0.0653202385806354,-0.0461007605813009,-0.0901698768438145,-0.1009546059434273,-0.2418065295916811,-0.2663973923255459,-12.431158197876128,8.720653795075087,-16.718008776612834,-0.0772311779573355,0.3692208059805506,0.5241168364977735,1890.2698974609373,11946.0,30.5,0.0037713458295911,-0.0159416534006595,-1.6663093566894531,1500.0,1500.0,1200.0,1500.0,1500.0,1021.7000000000002,250.0,289.15,1635952282.431648,1635952284.1707356,d667975d-dc88-4e57-9d52-a2d8495170c2
-0.0505843437449748,0.0352177493150615,-0.066191572876597,-0.0459412102359363,-0.0909891933639724,-0.1016930544823088,-0.2431031858600068,-0.2659353519233757,-12.454891913327792,8.728767200858474,-16.784155184396266,-0.0792625698638083,0.3706063669783617,0.5281776186999073,1916.044982910156,11938.5,32.5,0.0039117264095693,-0.015846149995923,-1.6671670079231262,1750.0,1500.0,1200.0,1500.0,1750.0,1021.7000000000002,250.0,289.15,1635952287.633253,1635952289.0822818,03777ff5-768b-4a51-9cad-61d2bfaf720f
