xflr5 v6.50

Plane name :        MXS
Polar name :        T1-15.0 m/s-VLM1
Freestream speed :  15.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.500     0.000  -0.804589   0.045597   0.020836   0.066432  -0.000000  -0.000000   0.429886   0.000000   0.000000   15.0000     0.1321
  -10.400     0.000  -0.797168   0.044756   0.020647   0.065403  -0.000000   0.000000   0.425997   0.000000   0.000000   15.0000     0.1321
  -10.300     0.000  -0.789740   0.043923   0.020455   0.064378  -0.000000  -0.000000   0.422101   0.000000   0.000000   15.0000     0.1321
  -10.200     0.000  -0.782305   0.043097   0.020264   0.063361  -0.000000  -0.000000   0.418200   0.000000   0.000000   15.0000     0.1320
  -10.100     0.000  -0.774864   0.042278   0.020076   0.062354  -0.000000   0.000000   0.414295   0.000000   0.000000   15.0000     0.1320
  -10.000     0.000  -0.767416   0.041466   0.019893   0.061359  -0.000000   0.000000   0.410384   0.000000   0.000000   15.0000     0.1320
   -9.900     0.000  -0.759961   0.040662   0.019718   0.060379  -0.000000   0.000000   0.406468   0.000000   0.000000   15.0000     0.1320
   -9.800     0.000  -0.752500   0.039864   0.019556   0.059420  -0.000000   0.000000   0.402548   0.000000   0.000000   15.0000     0.1319
   -9.700     0.000  -0.745032   0.039074   0.019394   0.058469  -0.000000   0.000000   0.398623   0.000000   0.000000   15.0000     0.1319
   -9.600     0.000  -0.737558   0.038292   0.019236   0.057528  -0.000000  -0.000000   0.394693   0.000000   0.000000   15.0000     0.1319
   -9.500     0.000  -0.730078   0.037516   0.019082   0.056598  -0.000000   0.000000   0.390758   0.000000   0.000000   15.0000     0.1319
   -9.400     0.000  -0.722591   0.036748   0.018934   0.055682  -0.000000   0.000000   0.386819   0.000000   0.000000   15.0000     0.1318
   -9.300     0.000  -0.715098   0.035988   0.018788   0.054776  -0.000000   0.000000   0.382874   0.000000   0.000000   15.0000     0.1318
   -9.200     0.000  -0.707599   0.035235   0.018644   0.053879  -0.000000   0.000000   0.378925   0.000000   0.000000   15.0000     0.1318
   -9.100     0.000  -0.700094   0.034489   0.018501   0.052990  -0.000000   0.000000   0.374971   0.000000   0.000000   15.0000     0.1318
   -9.000     0.000  -0.692583   0.033751   0.018362   0.052113  -0.000000   0.000000   0.371013   0.000000   0.000000   15.0000     0.1317
   -8.900     0.000  -0.685066   0.033020   0.018227   0.051247  -0.000000   0.000000   0.367050   0.000000   0.000000   15.0000     0.1317
   -8.800     0.000  -0.677543   0.032297   0.018100   0.050396  -0.000000   0.000000   0.363083   0.000000   0.000000   15.0000     0.1317
   -8.700     0.000  -0.670014   0.031581   0.017979   0.049560  -0.000000   0.000000   0.359111   0.000000   0.000000   15.0000     0.1317
   -8.600     0.000  -0.662479   0.030873   0.017864   0.048736  -0.000000   0.000000   0.355135   0.000000   0.000000   15.0000     0.1317
   -8.500     0.000  -0.654939   0.030172   0.017749   0.047921  -0.000000   0.000000   0.351154   0.000000   0.000000   15.0000     0.1316
   -8.400     0.000  -0.647393   0.029479   0.017639   0.047119  -0.000000   0.000000   0.347169   0.000000   0.000000   15.0000     0.1316
   -8.300     0.000  -0.639841   0.028794   0.017536   0.046330  -0.000000   0.000000   0.343180   0.000000   0.000000   15.0000     0.1316
   -8.200     0.000  -0.632284   0.028116   0.017439   0.045555  -0.000000   0.000000   0.339187   0.000000   0.000000   15.0000     0.1316
   -8.100     0.000  -0.624721   0.027446   0.017343   0.044789  -0.000000   0.000000   0.335189   0.000000   0.000000   15.0000     0.1316
   -8.000     0.000  -0.617153   0.026783   0.017252   0.044035  -0.000000   0.000000   0.331187   0.000000   0.000000   15.0000     0.1315
   -7.900     0.000  -0.609580   0.026128   0.017163   0.043291  -0.000000   0.000000   0.327181   0.000000   0.000000   15.0000     0.1315
   -7.800     0.000  -0.602001   0.025481   0.017078   0.042560  -0.000000   0.000000   0.323171   0.000000   0.000000   15.0000     0.1315
   -7.700     0.000  -0.594417   0.024842   0.017002   0.041844  -0.000000  -0.000000   0.319157   0.000000   0.000000   15.0000     0.1315
   -7.600     0.000  -0.586828   0.024210   0.016931   0.041141  -0.000000   0.000000   0.315139   0.000000   0.000000   15.0000     0.1315
   -7.500     0.000  -0.579234   0.023587   0.016860   0.040447  -0.000000   0.000000   0.311117   0.000000   0.000000   15.0000     0.1314
   -7.400     0.000  -0.571635   0.022970   0.016792   0.039763  -0.000000   0.000000   0.307091   0.000000   0.000000   15.0000     0.1314
   -7.300     0.000  -0.564031   0.022362   0.016726   0.039088  -0.000000   0.000000   0.303060   0.000000   0.000000   15.0000     0.1314
   -7.200     0.000  -0.556422   0.021762   0.016663   0.038424  -0.000000   0.000000   0.299026   0.000000   0.000000   15.0000     0.1314
   -7.100     0.000  -0.548808   0.021169   0.016605   0.037774  -0.000000   0.000000   0.294988   0.000000   0.000000   15.0000     0.1314
   -7.000     0.000  -0.541190   0.020584   0.016554   0.037138  -0.000000   0.000000   0.290947   0.000000   0.000000   15.0000     0.1313
   -6.900     0.000  -0.533566   0.020008   0.016502   0.036510  -0.000000   0.000000   0.286902   0.000000   0.000000   15.0000     0.1313
   -6.800     0.000  -0.525938   0.019439   0.016452   0.035891  -0.000000   0.000000   0.282852   0.000000   0.000000   15.0000     0.1313
   -6.700     0.000  -0.518306   0.018878   0.016404   0.035282  -0.000000  -0.000000   0.278799   0.000000   0.000000   15.0000     0.1313
   -6.600     0.000  -0.510669   0.018325   0.016360   0.034684  -0.000000  -0.000000   0.274743   0.000000   0.000000   15.0000     0.1313
   -6.500     0.000  -0.503028   0.017779   0.016320   0.034099  -0.000000   0.000000   0.270683   0.000000   0.000000   15.0000     0.1313
   -6.400     0.000  -0.495382   0.017242   0.016285   0.033528  -0.000000   0.000000   0.266619   0.000000   0.000000   15.0000     0.1312
   -6.300     0.000  -0.487732   0.016713   0.016252   0.032965  -0.000000  -0.000000   0.262552   0.000000   0.000000   15.0000     0.1312
   -6.200     0.000  -0.480077   0.016192   0.016218   0.032410  -0.000000   0.000000   0.258482   0.000000   0.000000   15.0000     0.1312
   -6.100     0.000  -0.472419   0.015679   0.016185   0.031864  -0.000000   0.000000   0.254408   0.000000   0.000000   15.0000     0.1312
   -6.000     0.000  -0.464756   0.015173   0.016152   0.031326  -0.000000   0.000000   0.250330   0.000000   0.000000   15.0000     0.1312
   -5.900     0.000  -0.457090   0.014676   0.016121   0.030797  -0.000000  -0.000000   0.246249   0.000000   0.000000   15.0000     0.1312
   -5.800     0.000  -0.449419   0.014187   0.016089   0.030277  -0.000000   0.000000   0.242165   0.000000   0.000000   15.0000     0.1312
   -5.700     0.000  -0.441745   0.013706   0.016058   0.029764  -0.000000   0.000000   0.238078   0.000000   0.000000   15.0000     0.1311
   -5.600     0.000  -0.434066   0.013233   0.016029   0.029262  -0.000000   0.000000   0.233987   0.000000   0.000000   15.0000     0.1311
   -5.500     0.000  -0.426384   0.012769   0.016001   0.028769  -0.000000   0.000000   0.229893   0.000000   0.000000   15.0000     0.1311
   -5.400     0.000  -0.418698   0.012312   0.015973   0.028285  -0.000000  -0.000000   0.225796   0.000000   0.000000   15.0000     0.1311
   -5.300     0.000  -0.411009   0.011863   0.015945   0.027809  -0.000000  -0.000000   0.221696   0.000000   0.000000   15.0000     0.1311
   -5.200     0.000  -0.403315   0.011423   0.015918   0.027341  -0.000000   0.000000   0.217593   0.000000   0.000000   15.0000     0.1311
   10.000     0.000   0.767415   0.041466   0.019888   0.061354   0.000000  -0.000000  -0.411995  -0.000000  -0.000000   15.0000     0.1320
   10.100     0.000   0.774863   0.042278   0.020071   0.062349   0.000000  -0.000000  -0.415987  -0.000000  -0.000000   15.0000     0.1320
   10.200     0.000   0.782304   0.043097   0.020259   0.063356   0.000000  -0.000000  -0.419975  -0.000000  -0.000000   15.0000     0.1320
   10.300     0.000   0.789739   0.043923   0.020450   0.064373   0.000000  -0.000000  -0.423959  -0.000000  -0.000000   15.0000     0.1321
   10.400     0.000   0.797167   0.044756   0.020642   0.065398   0.000000  -0.000000  -0.427938  -0.000000  -0.000000   15.0000     0.1321
   10.500     0.000   0.804588   0.045596   0.020830   0.066427   0.000000  -0.000000  -0.431912  -0.000000  -0.000000   15.0000     0.1321
   10.600     0.000   0.812002   0.046444   0.021017   0.067461   0.000000  -0.000000  -0.435882  -0.000000  -0.000000   15.0000     0.1321
   10.700     0.000   0.819409   0.047299   0.021204   0.068503   0.000000  -0.000000  -0.439847  -0.000000  -0.000000   15.0000     0.1322
   10.800     0.000   0.826809   0.048160   0.021394   0.069554   0.000000  -0.000000  -0.443807  -0.000000  -0.000000   15.0000     0.1322
   10.900     0.000   0.834203   0.049029   0.021587   0.070616   0.000000  -0.000000  -0.447763  -0.000000  -0.000000   15.0000     0.1322
   11.000     0.000   0.841588   0.049905   0.021780   0.071685   0.000000  -0.000000  -0.451714  -0.000000  -0.000000   15.0000     0.1322
   11.100     0.000   0.848967   0.050788   0.021971   0.072759   0.000000  -0.000000  -0.455660  -0.000000  -0.000000   15.0000     0.1323
   11.200     0.000   0.856339   0.051677   0.022163   0.073840   0.000000  -0.000000  -0.459601  -0.000000  -0.000000   15.0000     0.1323
   11.300     0.000   0.863703   0.052574   0.022356   0.074930   0.000000  -0.000000  -0.463537  -0.000000  -0.000000   15.0000     0.1323
   11.400     0.000   0.871060   0.053477   0.022550   0.076028   0.000000  -0.000000  -0.467468  -0.000000  -0.000000   15.0000     0.1324
   11.500     0.000   0.878409   0.054388   0.022748   0.077136   0.000000  -0.000000  -0.471394  -0.000000  -0.000000   15.0000     0.1324
   11.600     0.000   0.885751   0.055305   0.022961   0.078266   0.000000  -0.000000  -0.475316  -0.000000  -0.000000   15.0000     0.1324
   11.700     0.000   0.893085   0.056229   0.023204   0.079433   0.000000  -0.000000  -0.479235  -0.000000  -0.000000   15.0000     0.1324
   11.800     0.000   0.900412   0.057160   0.023459   0.080619   0.000000  -0.000000  -0.483150  -0.000000  -0.000000   15.0000     0.1325
   11.900     0.000   0.907731   0.058098   0.023721   0.081818   0.000000  -0.000000  -0.487060  -0.000000  -0.000000   15.0000     0.1325
   12.000     0.000   0.915042   0.059042   0.023988   0.083030   0.000000  -0.000000  -0.490964  -0.000000  -0.000000   15.0000     0.1325
   12.100     0.000   0.922346   0.059993   0.024252   0.084245   0.000000  -0.000000  -0.494864  -0.000000  -0.000000   15.0000     0.1326
   12.200     0.000   0.929642   0.060951   0.024503   0.085454   0.000000  -0.000000  -0.498757  -0.000000  -0.000000   15.0000     0.1326
   12.300     0.000   0.936929   0.061915   0.024751   0.086666   0.000000  -0.000000  -0.502645  -0.000000  -0.000000   15.0000     0.1326
   12.400     0.000   0.944209   0.062886   0.024998   0.087884   0.000000  -0.000000  -0.506527  -0.000000  -0.000000   15.0000     0.1327
   12.500     0.000   0.951481   0.063864   0.025241   0.089105   0.000000  -0.000000  -0.510403  -0.000000  -0.000000   15.0000     0.1327
