Objects
30
,,Global Angle Crazyflie_01:Crazyflie_01,,,,,,Global Angle LowerTriangle:LowerTriangle,,,,,,Global Angle MXS:MXS,,,,,,Global Angle clover13:clover13,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
36,0,,,,,,,-0.001216,0.001877,0.048853,1043.891602,1042.964966,570.228088,-1.177168,-1.224547,1.099730,1047.960693,1109.692383,616.935608,,,,,,
37,0,,,,,,,-0.001351,0.001820,0.053791,1043.414795,1042.062378,570.268616,-1.174875,-1.228013,1.103580,1047.130981,1108.750977,616.960266,,,,,,
38,0,,,,,,,-0.001093,0.001810,0.058059,1042.886841,1041.365112,570.277527,-1.172889,-1.230827,1.106678,1046.200439,1107.825195,616.975281,,,,,,
39,0,,,,,,,-0.001106,0.001617,0.061500,1042.241211,1040.577026,570.305725,-1.172490,-1.235607,1.108979,1046.246826,1106.888672,617.006775,,,,,,
40,0,,,,,,,-0.000958,0.002027,0.063952,1041.597412,1039.638428,570.262329,-1.169686,-1.235062,1.110955,1044.330933,1106.259888,617.002808,,,,,,
41,0,,,,,,,-0.001032,0.001820,0.065532,1040.720215,1038.925171,570.256958,-1.170228,-1.238641,1.112125,1044.324219,1105.370117,616.932678,,,,,,
42,0,,,,,,,-0.002231,0.001624,0.066600,1039.723022,1038.467529,570.038391,-1.169856,-1.239137,1.112674,1043.467407,1104.591919,616.960693,,,,,,
43,0,,,,,,,-0.000950,0.001950,0.065863,1039.026611,1037.504150,570.249756,-1.169900,-1.239437,1.112038,1042.571533,1103.985474,616.725891,,,,,,
44,0,,,,,,,-0.000790,0.001961,0.064600,1038.180786,1036.933350,570.275208,-1.168966,-1.236308,1.111385,1040.766235,1103.584961,616.663757,,,,,,
45,0,,,,,,,-0.000723,0.002136,0.062890,1037.211182,1036.314453,570.329468,-1.169933,-1.235639,1.109042,1040.304932,1103.276611,616.813599,,,,,,
46,0,,,,,,,-0.000633,0.001975,0.059585,1036.075928,1035.755981,570.297729,-1.171432,-1.232859,1.107485,1039.329590,1102.389648,616.786438,,,,,,
47,0,,,,,,,-0.000479,0.002051,0.055567,1035.097290,1035.142090,570.228638,-1.173437,-1.229865,1.104950,1038.499756,1101.832764,616.683289,,,,,,
48,0,,,,,,,-0.000721,0.002043,0.051407,1033.943237,1034.887695,570.266296,-1.175693,-1.226630,1.101331,1037.853760,1101.419067,616.682861,,,,,,
49,0,,,,,,,-0.000716,0.002221,0.044930,1033.370239,1034.235962,570.197266,-1.179882,-1.228681,1.099983,1039.009155,1100.377686,616.850769,,,,,,
50,0,,,,,,,-0.000490,0.002166,0.039370,1032.311401,1034.141113,570.234680,-1.182980,-1.224370,1.095715,1038.494629,1099.958496,616.855530,,,,,,
51,0,,,,,,,-0.001169,0.001933,0.032201,1031.495483,1033.541016,570.241821,-1.186223,-1.220014,1.091362,1038.020996,1099.633911,616.825073,,,,,,
52,0,,,,,,,-0.001389,0.002149,0.025273,1030.584473,1033.377563,570.281616,-1.189585,-1.215091,1.086134,1037.483032,1099.393311,616.833435,,,,,,
53,0,,,,,,,-0.001590,0.002297,0.018242,1029.779419,1033.003418,570.213074,-1.193198,-1.210025,1.080992,1037.159668,1099.239990,616.890991,,,,,,
54,0,,,,,,,-0.000876,0.001915,0.010359,1028.771118,1033.122437,570.272705,-1.196811,-1.204723,1.075688,1036.789917,1099.077271,616.907776,,,,,,
55,0,,,,,,,-0.001420,0.001968,0.003059,1027.944092,1033.239990,570.255493,-1.198068,-1.193232,1.066962,1034.385742,1100.010620,616.681641,,,,,,
56,0,,,,,,,-0.000968,0.001685,-0.004273,1027.054565,1033.518555,570.318481,-1.201607,-1.187720,1.061505,1034.090698,1100.052856,616.716187,,,,,,
57,0,,,,,,,-0.001512,0.001941,-0.011412,1026.402466,1033.583130,570.282410,-1.205279,-1.182651,1.056222,1033.922363,1100.052368,616.748230,,,,,,
58,0,,,,,,,-0.001953,0.002035,-0.018126,1025.753296,1033.700684,570.261047,-1.208572,-1.177730,1.051036,1033.743530,1100.198730,616.745850,,,,,,
59,0,,,,,,,-0.001615,0.001398,-0.024999,1024.824829,1034.098267,570.186218,-1.211707,-1.173095,1.046572,1033.490601,1100.450317,616.720215,,,,,,
60,0,,,,,,,-0.002111,0.001752,-0.030773,1024.551758,1034.331055,570.242126,-1.214666,-1.168704,1.042033,1033.415405,1100.724365,616.768372,,,,,,
61,0,,,,,,,-0.002407,0.001868,-0.036028,1024.152344,1034.694458,570.264526,-1.218683,-1.165890,1.036642,1034.285522,1100.901733,617.009338,,,,,,
62,0,,,,,,,-0.002181,0.001227,-0.040736,1023.669006,1035.194458,570.131409,-1.220975,-1.162636,1.033621,1034.064087,1101.238647,616.916992,,,,,,
63,0,,,,,,,-0.002677,0.001472,-0.045892,1023.506042,1035.139526,570.097290,-1.222839,-1.159671,1.030898,1033.993164,1101.657715,616.932434,,,,,,
64,0,,,,,,,-0.002716,0.001958,-0.048293,1023.394592,1035.703125,570.179077,-1.224181,-1.157616,1.028244,1034.118042,1102.212646,617.042542,,,,,,
65,0,,,,,,,-0.002853,0.001880,-0.050564,1023.296570,1036.351807,570.186218,-1.225182,-1.156020,1.026788,1034.107544,1102.739990,617.034851,,,,,,
66,0,,,,,,,-0.002930,0.001974,-0.051966,1023.277283,1036.871582,570.179260,-1.224344,-1.154130,1.026831,1033.354614,1103.489624,616.923645,,,,,,
67,0,,,,,,,-0.003003,0.002161,-0.052532,1023.280762,1037.257080,570.094116,-1.224452,-1.153831,1.026630,1033.398926,1104.131592,616.919006,,,,,,
68,0,,,,,,,-0.002578,0.001830,-0.050699,1023.228638,1038.378296,570.265320,-1.224051,-1.154202,1.027034,1033.475098,1104.756226,616.983521,,,,,,
69,0,,,,,,,-0.002567,0.001863,-0.049216,1023.384827,1039.051025,570.250610,-1.223343,-1.155266,1.028165,1033.564331,1105.411133,616.946777,,,,,,
70,0,,,,,,,-0.002460,0.001927,-0.046900,1023.687744,1039.749878,570.263733,-1.223739,-1.157844,1.028857,1034.482422,1105.920288,617.069641,,,,,,
71,0,,,,,,,-0.002412,0.001952,-0.043838,1024.084839,1040.356079,570.217102,-1.222306,-1.160124,1.031095,1034.601562,1106.552979,617.074890,,,,,,
72,0,,,,,,,-0.002135,0.001783,-0.039877,1024.472900,1041.052124,570.202454,-1.220348,-1.163090,1.034160,1034.769409,1107.413696,617.030334,,,,,,
73,0,,,,,,,-0.001785,0.001453,-0.035434,1024.821167,1041.837036,570.182434,-1.216582,-1.165378,1.038608,1034.176147,1108.263550,616.966492,,,,,,
74,0,,,,,,,-0.001363,0.001396,-0.030254,1025.313110,1042.613892,570.214417,-1.214052,-1.169429,1.041828,1034.596069,1109.006226,617.123047,,,,,,
75,0,,,,,,,-0.001540,0.002433,-0.023935,1026.274292,1043.307861,570.454102,-1.211194,-1.173630,1.046982,1034.518799,1109.762451,616.833557,,,,,,
76,0,,,,,,,-0.001696,0.002244,-0.017447,1026.823364,1044.053101,570.403931,-1.208172,-1.178314,1.051675,1034.827271,1110.422485,616.836731,,,,,,
77,0,,,,,,,-0.001623,0.002153,-0.010831,1027.579102,1044.483765,570.302124,-1.206556,-1.184147,1.055313,1035.920410,1110.954224,616.929688,,,,,,
78,0,,,,,,,-0.001305,0.001995,-0.003886,1028.237061,1045.204468,570.293579,-1.201752,-1.188268,1.061460,1035.471436,1111.819824,616.848877,,,,,,
79,0,,,,,,,-0.001401,0.002231,0.003769,1029.207764,1046.076294,570.430908,-1.198362,-1.193246,1.066403,1035.790527,1112.468750,616.864136,,,,,,
80,0,,,,,,,-0.001209,0.001958,0.010547,1029.883423,1046.524414,570.356506,-1.195404,-1.197796,1.071185,1036.219116,1113.036133,616.989929,,,,,,
81,0,,,,,,,-0.000964,0.001944,0.017377,1030.645386,1047.093628,570.284424,-1.193493,-1.204398,1.075767,1037.485718,1113.484009,617.091370,,,,,,
82,0,,,,,,,-0.002790,0.001685,0.024522,1031.466553,1047.633789,569.942688,-1.190232,-1.209285,1.080521,1037.930664,1113.990234,617.165222,,,,,,
83,0,,,,,,,-0.002825,0.001948,0.030768,1032.459473,1048.180420,570.013367,-1.187114,-1.214016,1.085305,1038.410889,1114.496216,617.145264,,,,,,
