Objects
30
,,Global Angle Crazyflie_01:Crazyflie_01,,,,,,Global Angle LowerTriangle:LowerTriangle,,,,,,Global Angle MXS:MXS,,,,,,Global Angle clover13:clover13,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
54,0,,,,,,,,,,,,,2.336999,2.629030,-2.261432,1041.378418,1108.364990,616.619568,,,,,,
55,0,,,,,,,,,,,,,2.336723,2.630258,-2.259763,1041.756226,1108.892456,616.770630,,,,,,
56,0,,,,,,,,,,,,,2.338099,2.628893,-2.261688,1041.163452,1108.977173,616.682007,,,,,,
57,0,,,,,,,,,,,,,2.337310,2.628735,-2.261458,1041.239624,1109.464600,616.664185,,,,,,
58,0,,,,,,,,,,,,,2.338356,2.628818,-2.261764,1041.087402,1109.545288,616.701782,,,,,,
59,0,,,,,,,,,,,,,2.343393,2.627404,-2.265017,1039.852539,1109.936279,616.656433,,,,,,
60,0,,,,,,,,,,,,,2.342917,2.627463,-2.265172,1039.860107,1110.300293,616.656921,,,,,,
61,0,,,,,,,,,,,,,2.343618,2.627507,-2.264930,1039.794922,1110.406982,616.696167,,,,,,
62,0,,,,,,,,,,,,,2.343627,2.627420,-2.265031,1039.764526,1110.597656,616.687744,,,,,,
63,0,,,,,,,,,,,,,2.343719,2.627297,-2.265009,1039.760376,1110.781738,616.667297,,,,,,
64,0,,,,,,,,,,,,,2.343474,2.627439,-2.264999,1039.765747,1110.915894,616.708191,,,,,,
65,0,,,,,,,,,,,,,2.343477,2.627432,-2.264927,1039.772461,1110.990479,616.712097,,,,,,
66,0,,,,,,,,,,,,,2.342718,2.627259,-2.265329,1039.797241,1111.187622,616.655090,,,,,,
67,0,,,,,,,,,,,,,2.342791,2.627273,-2.265383,1039.795776,1111.240967,616.680298,,,,,,
68,0,,,,,,,,,,,,,2.343862,2.627449,-2.264906,1039.741089,1111.138184,616.718262,,,,,,
69,0,,,,,,,,,,,,,2.343907,2.627433,-2.264936,1039.728271,1111.187012,616.669983,,,,,,
70,0,,,,,,,,,,,,,2.343921,2.627330,-2.264972,1039.756104,1111.095947,616.703918,,,,,,
71,0,,,,,,,,,,,,,2.344115,2.627311,-2.264950,1039.768188,1111.004272,616.715332,,,,,,
72,0,,,,,,,,,,,,,2.343881,2.627419,-2.264875,1039.787231,1110.925537,616.690491,,,,,,
73,0,,,,,,,,,,,,,2.344548,2.627175,-2.264847,1039.794556,1110.750732,616.683167,,,,,,
74,0,,,,,,,,,,,,,2.345078,2.627167,-2.264753,1039.803711,1110.570801,616.713196,,,,,,
75,0,,,,,,,,,,,,,2.346203,2.626843,-2.264507,1039.786133,1110.297363,616.682434,,,,,,
76,0,,,,,,,,,,,,,2.347809,2.626454,-2.264035,1039.781006,1110.005737,616.651428,,,,,,
77,0,,,,,,,,,,,,,2.344495,2.626992,-2.260165,1041.053345,1109.699341,616.696106,,,,,,
78,0,,,,,,,,,,,,,2.347606,2.626537,-2.259104,1041.139404,1109.331787,616.710571,,,,,,
79,0,,,,,,,,,,,,,2.351348,2.625478,-2.258010,1041.248047,1108.979980,616.722107,,,,,,
80,0,,,,,,,,,,,,,2.354824,2.624701,-2.256016,1041.583618,1108.642822,616.687561,,,,,,
81,0,,,,,,,,,,,,,2.359742,2.623718,-2.254273,1041.881348,1108.387207,616.719543,,,,,,
82,0,,,,,,,,,,,,,2.371845,2.620901,-2.256264,1040.707764,1108.298096,616.662170,,,,,,
83,0,,,,,,,,,,,,,2.378991,2.619329,-2.254433,1041.037598,1108.136597,616.628967,,,,,,
84,0,,,,,,,,,,,,,2.382305,2.618720,-2.249225,1042.610474,1107.930664,616.666504,,,,,,
85,0,,,,,,,,,,,,,2.397786,2.614504,-2.250125,1041.770996,1108.014526,616.633667,,,,,,
86,0,,,,,,,,,,,,,2.410297,2.611686,-2.247194,1042.159912,1108.127075,616.822021,,,,,,
87,0,,,,,,,,,,,,,2.420461,2.608101,-2.244494,1042.597534,1107.916992,616.797485,,,,,,
