Objects
30
,,Global Angle Crazyflie_01:Crazyflie_01,,,,,,Global Angle LowerTriangle:LowerTriangle,,,,,,Global Angle MXS:MXS,,,,,,Global Angle clover13:clover13,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
37,0,,,,,,,0.002635,0.002366,0.003701,1031.880249,1042.311768,567.918945,2.060436,2.125821,0.239784,48.977844,-1206.311401,302.005920,,,,,,
38,0,,,,,,,0.002600,0.002544,0.003156,1031.996704,1042.240845,567.963928,2.060424,2.125827,0.239758,48.965889,-1206.306396,301.995941,,,,,,
39,0,,,,,,,0.003220,0.002363,0.002497,1032.267456,1041.954346,567.978943,2.060404,2.125849,0.239791,48.976070,-1206.307861,302.007782,,,,,,
40,0,,,,,,,0.003152,0.002287,0.002132,1032.425781,1041.825439,567.949280,2.060426,2.125831,0.239772,48.992256,-1206.301880,302.010345,,,,,,
41,0,,,,,,,0.003054,0.002425,0.001849,1032.578857,1041.774780,567.958923,2.060421,2.125865,0.239728,48.969707,-1206.327026,302.020782,,,,,,
42,0,,,,,,,0.003016,0.002289,0.001592,1032.755127,1041.686157,567.936829,2.060390,2.125859,0.239750,48.954948,-1206.313965,301.999847,,,,,,
43,0,,,,,,,0.002912,0.002324,0.001467,1032.938232,1041.613770,567.921570,2.060400,2.125847,0.239777,48.975918,-1206.314575,301.996948,,,,,,
44,0,,,,,,,0.002830,0.002407,0.001444,1033.124512,1041.567505,567.925232,2.060381,2.125876,0.239765,48.963444,-1206.321045,302.004150,,,,,,
45,0,,,,,,,0.002919,0.002396,0.001516,1033.330566,1041.562256,567.916870,2.060439,2.125850,0.239757,48.964397,-1206.310669,301.997284,,,,,,
46,0,,,,,,,0.002914,0.002343,0.001750,1033.532715,1041.480469,567.929810,2.060420,2.125853,0.239753,48.968811,-1206.316895,302.005585,,,,,,
47,0,,,,,,,0.002571,0.002125,0.001745,1033.715942,1041.779785,568.026550,2.060420,2.125863,0.239756,48.958332,-1206.313354,302.013580,,,,,,
48,0,,,,,,,0.002547,0.002075,0.002063,1033.923828,1041.733765,568.016785,2.060381,2.125845,0.239745,48.950195,-1206.336426,301.984161,,,,,,
49,0,,,,,,,0.002525,0.002282,0.002469,1034.102173,1041.646606,568.052185,2.060428,2.125849,0.239774,48.976917,-1206.308716,302.001373,,,,,,
50,0,,,,,,,0.002745,0.002374,0.002653,1034.380615,1041.522949,568.069885,2.060396,2.125851,0.239733,48.962078,-1206.324219,302.008423,,,,,,
51,0,,,,,,,0.002506,0.002166,0.003449,1034.494873,1041.567261,568.043030,2.060437,2.125869,0.239750,48.956264,-1206.334717,302.002228,,,,,,
52,0,,,,,,,0.002511,0.002304,0.004070,1034.726196,1041.535522,568.037598,2.060420,2.125840,0.239770,48.956039,-1206.314819,301.999512,,,,,,
53,0,,,,,,,0.002474,0.002229,0.004606,1034.939087,1041.473145,568.028625,2.060437,2.125869,0.239781,48.973347,-1206.308472,302.007538,,,,,,
54,0,,,,,,,0.002256,0.002394,0.005309,1035.231934,1041.580200,568.104553,2.060412,2.125834,0.239748,48.965763,-1206.321411,302.001740,,,,,,
55,0,,,,,,,0.002581,0.002625,0.005653,1035.518677,1041.546387,568.160767,2.060418,2.125849,0.239769,48.963783,-1206.329102,302.006256,,,,,,
56,0,,,,,,,0.002513,0.002547,0.006241,1035.668579,1041.482666,568.130249,2.060450,2.125853,0.239786,48.973766,-1206.303223,302.024902,,,,,,
57,0,,,,,,,0.002539,0.002539,0.006796,1035.839844,1041.474609,568.115967,2.060412,2.125864,0.239713,48.956932,-1206.322510,301.992676,,,,,,
58,0,,,,,,,0.002713,0.002409,0.007392,1036.029785,1041.482788,568.095642,2.060312,2.125494,0.239986,48.934494,-1206.235718,301.900635,,,,,,
59,0,,,,,,,0.003094,0.001796,0.008080,1036.213867,1041.385132,567.950195,2.060436,2.125841,0.239705,48.970432,-1206.316406,302.001709,,,,,,
60,0,,,,,,,0.004116,0.000063,0.008937,1036.753296,1041.666626,567.599060,2.060447,2.125850,0.239799,48.979622,-1206.313965,302.027557,,,,,,
61,0,,,,,,,0.002766,0.002486,0.008786,1036.390381,1041.311646,568.061340,2.060410,2.125871,0.239727,48.957195,-1206.336914,302.003632,,,,,,
62,0,,,,,,,0.003045,0.002217,0.009172,1036.445923,1041.169556,567.967834,2.060421,2.125846,0.239766,48.968273,-1206.327393,302.010712,,,,,,
63,0,,,,,,,0.003146,0.002102,0.009349,1036.522705,1041.198486,567.922852,2.060457,2.125839,0.239736,48.966618,-1206.325806,302.000122,,,,,,
64,0,,,,,,,0.002967,0.002302,0.009377,1036.550659,1041.251709,567.979187,2.060452,2.125870,0.239740,48.971622,-1206.305420,302.026001,,,,,,
65,0,,,,,,,0.003105,0.002178,0.009383,1036.597656,1041.313477,567.950500,2.060407,2.125847,0.239790,48.973663,-1206.318970,302.005829,,,,,,
66,0,,,,,,,0.003048,0.002278,0.009305,1036.622559,1041.332031,567.960083,2.060454,2.125854,0.239795,48.969597,-1206.293457,302.016296,,,,,,
67,0,,,,,,,0.003050,0.002126,0.009141,1036.598633,1041.420044,567.961304,2.060404,2.125864,0.239748,48.962593,-1206.316162,302.014801,,,,,,
68,0,,,,,,,0.003042,0.002314,0.008864,1036.574219,1041.489868,567.972778,2.060439,2.125862,0.239696,48.961441,-1206.329956,302.009125,,,,,,
69,0,,,,,,,0.002829,0.002566,0.008318,1036.550171,1041.739502,568.050842,2.060432,2.125857,0.239768,48.969845,-1206.304810,302.013000,,,,,,
