Objects
30
,,Global Angle Crazyflie_01:Crazyflie_01,,,,,,Global Angle LowerTriangle:LowerTriangle,,,,,,Global Angle MXS:MXS,,,,,,Global Angle clover13:clover13,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
54,0,,,,,,,,,,,,,2.155684,2.310920,-0.049115,1052.582886,1080.090332,541.027832,,,,,,
55,0,,,,,,,,,,,,,2.155852,2.310740,-0.049113,1052.662964,1080.002808,541.034607,,,,,,
56,0,,,,,,,,,,,,,2.156112,2.310494,-0.049105,1052.725098,1079.942627,541.020508,,,,,,
57,0,,,,,,,,,,,,,2.156335,2.310393,-0.049218,1052.794678,1079.827393,541.013428,,,,,,
58,0,,,,,,,,,,,,,2.156388,2.310227,-0.049145,1052.838013,1079.739990,541.011230,,,,,,
59,0,,,,,,,,,,,,,2.156693,2.310028,-0.049280,1052.909790,1079.622681,541.004578,,,,,,
60,0,,,,,,,,,,,,,2.156761,2.309897,-0.049218,1052.985962,1079.544678,540.998657,,,,,,
61,0,,,,,,,,,,,,,2.156956,2.309793,-0.049289,1053.008423,1079.446655,540.984253,,,,,,
62,0,,,,,,,,,,,,,2.157027,2.309676,-0.049241,1053.060791,1079.366821,541.025879,,,,,,
63,0,,,,,,,,,,,,,2.157109,2.309592,-0.049258,1053.110352,1079.272217,540.993591,,,,,,
64,0,,,,,,,,,,,,,2.157148,2.309586,-0.049306,1053.144043,1079.177856,540.995789,,,,,,
65,0,,,,,,,,,,,,,2.157174,2.309528,-0.049291,1053.169189,1079.091431,540.995728,,,,,,
66,0,,,,,,,,,,,,,2.157127,2.309582,-0.049360,1053.204712,1078.997314,540.989319,,,,,,
67,0,,,,,,,,,,,,,2.157157,2.309561,-0.049280,1053.205200,1078.932617,540.995239,,,,,,
68,0,,,,,,,,,,,,,2.157016,2.309627,-0.049225,1053.207275,1078.855103,540.999573,,,,,,
69,0,,,,,,,,,,,,,2.156933,2.309767,-0.049307,1053.233643,1078.791504,541.007507,,,,,,
70,0,,,,,,,,,,,,,2.156982,2.309765,-0.049358,1053.256348,1078.814209,541.038452,,,,,,
71,0,,,,,,,,,,,,,2.156875,2.309903,-0.049391,1053.248779,1078.769287,541.027100,,,,,,
72,0,,,,,,,,,,,,,2.156407,2.310246,-0.049337,1053.169678,1078.584473,540.986084,,,,,,
73,0,,,,,,,,,,,,,2.156297,2.310369,-0.049376,1053.157959,1078.556519,540.993286,,,,,,
74,0,,,,,,,,,,,,,2.156065,2.310522,-0.049324,1053.127686,1078.535889,540.983459,,,,,,
75,0,,,,,,,,,,,,,2.155803,2.310749,-0.049364,1053.080933,1078.481934,540.980591,,,,,,
76,0,,,,,,,,,,,,,2.155590,2.310944,-0.049241,1053.048462,1078.490356,540.999878,,,,,,
77,0,,,,,,,,,,,,,2.155347,2.311161,-0.049288,1052.989990,1078.467896,540.990723,,,,,,
78,0,,,,,,,,,,,,,2.155101,2.311387,-0.049199,1052.943970,1078.477539,540.989136,,,,,,
79,0,,,,,,,,,,,,,2.154858,2.311592,-0.049187,1052.893799,1078.501099,540.985962,,,,,,
80,0,,,,,,,,,,,,,2.154637,2.311759,-0.049150,1052.831787,1078.514893,540.996521,,,,,,
81,0,,,,,,,,,,,,,2.154356,2.311968,-0.049148,1052.769409,1078.508667,541.003784,,,,,,
82,0,,,,,,,,,,,,,2.154129,2.312174,-0.049125,1052.704956,1078.568970,541.004089,,,,,,
83,0,,,,,,,,,,,,,2.153938,2.312318,-0.049187,1052.638062,1078.596313,540.996399,,,,,,
84,0,,,,,,,,,,,,,2.153722,2.312602,-0.049120,1052.564575,1078.611694,540.996399,,,,,,
