Objects
30
,,Global Angle Crazyflie_01:Crazyflie_01,,,,,,Global Angle LowerTriangle:LowerTriangle,,,,,,Global Angle MXS:MXS,,,,,,Global Angle clover13:clover13,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
36,0,,,,,,,-0.000734,0.000171,0.002626,1034.792480,1044.640015,501.237091,2.616961,-1.702376,0.059405,962.197998,-1769.317017,150.651703,,,,,,
37,0,,,,,,,-0.001010,0.000591,0.003032,1034.822266,1044.660645,501.325439,2.616956,-1.702350,0.059400,962.224182,-1769.289917,150.667252,,,,,,
38,0,,,,,,,-0.001013,0.000511,0.003203,1034.773071,1044.661377,501.316437,2.616619,-1.701713,0.058232,961.933350,-1769.320312,150.421768,,,,,,
39,0,,,,,,,-0.000412,0.001529,0.003690,1034.718140,1044.749146,501.084686,2.616630,-1.701747,0.058173,961.955505,-1769.335449,150.410019,,,,,,
40,0,,,,,,,-0.000393,0.001464,0.003959,1034.657959,1044.751343,501.056732,2.616642,-1.701695,0.058181,961.932068,-1769.321167,150.419205,,,,,,
41,0,,,,,,,-0.000821,-0.000000,0.003869,1034.539917,1044.681030,501.217316,2.616993,-1.702387,0.059410,962.204590,-1769.297852,150.657272,,,,,,
42,0,,,,,,,-0.000833,-0.000069,0.004114,1034.501831,1044.664062,501.210693,2.616976,-1.702299,0.059359,962.216980,-1769.299683,150.650970,,,,,,
43,0,,,,,,,-0.000288,0.000831,0.004706,1034.465454,1044.760010,500.974762,2.616938,-1.702303,0.059347,962.206299,-1769.317505,150.649384,,,,,,
44,0,,,,,,,-0.000293,0.000459,0.004953,1034.408569,1044.734619,500.976746,2.616605,-1.701775,0.058185,961.934570,-1769.342529,150.403519,,,,,,
45,0,,,,,,,-0.000639,0.001558,0.006044,1034.660400,1044.431030,501.149780,2.616580,-1.701738,0.058163,961.925537,-1769.331543,150.409882,,,,,,
46,0,,,,,,,-0.000571,0.001680,0.006405,1034.632935,1044.398193,501.115906,2.616964,-1.702259,0.059375,962.213379,-1769.300903,150.650635,,,,,,
47,0,,,,,,,-0.000600,0.001601,0.006705,1034.612793,1044.373901,501.113647,2.616969,-1.702312,0.059432,962.216309,-1769.277588,150.660721,,,,,,
