Objects
30
,,Global Angle Crazyflie_01:Crazyflie_01,,,,,,Global Angle LowerTriangle:LowerTriangle,,,,,,Global Angle MXS:MXS,,,,,,Global Angle clover13:clover13,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
37,0,,,,,,,0.003101,0.000274,0.004531,1033.827759,1041.091309,573.878479,2.157476,2.284912,-0.019466,49.339310,-1161.759521,302.098297,,,,,,
38,0,,,,,,,0.003007,0.000223,0.004583,1033.808472,1041.015259,573.877136,2.157533,2.284931,-0.019432,49.347321,-1161.823242,302.117920,,,,,,
39,0,,,,,,,0.003006,0.000274,0.004657,1033.810547,1040.947998,573.881226,2.157534,2.284909,-0.019414,49.365234,-1161.811768,302.141693,,,,,,
40,0,,,,,,,0.003157,0.000076,0.004677,1033.705200,1040.788818,573.804749,2.157499,2.284941,-0.019562,49.312649,-1161.811035,302.072662,,,,,,
41,0,,,,,,,0.003099,0.000106,0.004750,1033.713867,1040.713013,573.824829,2.157578,2.284931,-0.019449,49.328117,-1161.783325,302.102570,,,,,,
42,0,,,,,,,0.003082,0.000202,0.004929,1033.737061,1040.652710,573.829163,2.157523,2.284909,-0.019479,49.325253,-1161.759766,302.095062,,,,,,
43,0,,,,,,,0.003102,0.000079,0.004951,1033.711304,1040.603149,573.830322,2.157491,2.284950,-0.019525,49.333092,-1161.765015,302.097931,,,,,,
44,0,,,,,,,0.003054,0.000193,0.005173,1033.752075,1040.554199,573.855042,2.157628,2.284907,-0.019398,49.346058,-1161.833252,302.137665,,,,,,
45,0,,,,,,,0.003094,0.000238,0.005306,1033.766113,1040.507690,573.834961,2.157513,2.284924,-0.019461,49.330456,-1161.771118,302.095093,,,,,,
46,0,,,,,,,0.003103,0.000246,0.005468,1033.763428,1040.466553,573.827515,2.157485,2.284939,-0.019516,49.336590,-1161.793213,302.117676,,,,,,
47,0,,,,,,,0.003077,0.000229,0.005587,1033.770020,1040.421997,573.820984,2.157585,2.284890,-0.019356,49.351936,-1161.825195,302.139496,,,,,,
48,0,,,,,,,0.003129,0.000179,0.005718,1033.785156,1040.417969,573.835266,2.157572,2.284897,-0.019393,49.361374,-1161.842163,302.134918,,,,,,
49,0,,,,,,,0.003104,0.000153,0.005862,1033.794067,1040.392090,573.839783,2.157493,2.284947,-0.019483,49.338634,-1161.782349,302.093567,,,,,,
50,0,,,,,,,0.003142,0.000256,0.005988,1033.832031,1040.378906,573.838135,2.157509,2.284944,-0.019459,49.334892,-1161.784302,302.103333,,,,,,
51,0,,,,,,,0.003130,0.000156,0.006108,1033.842285,1040.382446,573.846191,2.157542,2.284944,-0.019492,49.317329,-1161.761353,302.085388,,,,,,
52,0,,,,,,,0.003147,0.000222,0.006211,1033.868774,1040.373779,573.838684,2.157542,2.284959,-0.019479,49.329868,-1161.786743,302.101807,,,,,,
